Education,Years of Experience,Skills,Employability
Bachelor,8,"Chemistry, Quality Control",1
Master,7,"Art and Design, Creative Direction",1
Doctorate,19,"Economics, Econometrics",0
Bachelor,0,"No Skills",0
Master,1,"Intern, Business Analysis",0
Doctorate,30,"Genetics, Genomic Research",0
Associate,5,"Veterinary Assistance, Animal Care",0
Bachelor,9,"Social Media, Content Creation",1
Master,13,"Nutrition, Public Health",1
Doctorate,16,"Physics, Computational Simulations",1
Associate,3,"Construction, Site Supervision",0
Bachelor,11,"Aerospace Engineering, CAD",1
Master,10,"Forensic Science, Crime Scene Analysis",1
Doctorate,25,"Philosophy, Academic Research",1
Bachelor,6,"Mechanical Engineering, AutoCAD",1
Master,8,"Sociology, Qualitative Research",0
Doctorate,20,"Zoology, Wildlife Conservation",0
Associate,2,"Electronics, Circuit Repair",0
Bachelor,7,"Project Management, Agile Methodologies",0
Master,5,"Finance, Investment Analysis",0
Doctorate,22,"Robotics, Machine Learning",0
Bachelor,4,"Information Technology, Network Security",0
Master,12,"Healthcare Administration, Hospital Management",0
Doctorate,18,"Geology, Field Studies",0
Associate,4,"Dental Hygiene, Patient Care",1
Bachelor,9,"Architecture, 3D Modeling",1
Master,11,"Psychology, Clinical Counseling",1
Doctorate,13,"Meteorology, Climate Analysis",1
Associate,5,"Pharmacy Technician, Medication Dispensing",1
Bachelor,8,"Political Science, Policy Research",1
Master,7,"Theatre, Performing Arts",1
Doctorate,30,"Marine Biology, Oceanography",1
Bachelor,0,"Intern, General Labor",0
Master,1,"Legal Studies, Case Preparations",0
Doctorate,25,"Historical Research, Archival Studies",1
Associate,6,"Fitness Training, Health Education",1
Bachelor,4,"Electronics Engineering, Microcontrollers",0
Master,12,"Logistics, Supply Chain Management",0
Doctorate,15,"Veterinary Medicine, Animal Surgery",0
Associate,3,"Hospitality, Hotel Management",0
Bachelor,5,"Environmental Studies, Conservation",0
Master,13,"Real Estate, Property Management",0
Doctorate,17,"Anthropology, Field Research",1
Associate,2,"Audio Engineering, Sound Production",0
Bachelor,10,"Actuarial Science, Risk Analysis",0
Master,8,"Neuroscience, Brain Research",0
Doctorate,14,"Quantum Mechanics, Theory",0
Associate,7,"Fashion Design, Textile Technology",1
Bachelor,6,"Pharmacology, Drug Development",1
Master,9,"Organic Farming, Sustainable Practices",0
Doctorate,16,"Astronomy, Observational Research",0
Associate,1,"Jewelry Design, Craftsmanship",0
Bachelor,11,"Sports Management, Event Coordination",0
Master,10,"Cognitive Science, Research",1
Doctorate,20,"Molecular Biology, Genetic Engineering",1
Associate,3,"Video Production, Editing",1
Bachelor,8,"Urban Design, City Planning",1
Master,7,"Speech Therapy, Patient Rehabilitation",1
Doctorate,19,"Nuclear Engineering, Safety Analysis",1
Bachelor,2,"Data Entry, Administrative Support",0
Master,12,"Pediatric Medicine, Child Care",1
Doctorate,15,"Optics, Photonics Research",0
Associate,4,"Automotive Design, Concept Development",0
Bachelor,9,"Horticulture, Plant Sciences",0
Master,11,"Media Studies, Communications",1
Doctorate,17,"Public Policy, Governance",1
